Date,Open,High,Low,Close,Adj Close,Volume
2012-10-17,1454.219971,1462.199951,1453.349976,1460.910034,1460.910034,3655320000
2012-10-18,1460.939941,1464.020020,1452.630005,1457.339966,1457.339966,3880030000
2012-10-19,1457.339966,1457.339966,1429.849976,1433.189941,1433.189941,3875170000
2012-10-22,1433.209961,1435.459961,1422.060059,1433.819946,1433.819946,3216220000
2012-10-23,1433.739990,1433.739990,1407.560059,1413.109985,1413.109985,3587670000
2012-10-24,1413.199951,1420.040039,1407.099976,1408.750000,1408.750000,3385970000
2012-10-25,1409.739990,1421.119995,1405.140015,1412.969971,1412.969971,3512640000
2012-10-26,1412.969971,1417.089966,1403.280029,1411.939941,1411.939941,3284910000
2012-10-31,1410.989990,1418.760010,1405.949951,1412.160034,1412.160034,3577110000
2012-11-01,1412.199951,1428.349976,1412.199951,1427.589966,1427.589966,3929890000
2012-11-02,1427.589966,1434.270020,1412.910034,1414.199951,1414.199951,3732480000
2012-11-05,1414.020020,1419.900024,1408.130005,1417.260010,1417.260010,2921040000
2012-11-06,1417.260010,1433.380005,1417.260010,1428.390015,1428.390015,3306970000
2012-11-07,1428.270020,1428.270020,1388.140015,1394.530029,1394.530029,4356490000
2012-11-08,1394.530029,1401.229980,1377.510010,1377.510010,1377.510010,3779520000
2012-11-09,1377.550049,1391.390015,1373.030029,1379.849976,1379.849976,3647350000
2012-11-12,1379.859985,1384.869995,1377.189941,1380.030029,1380.030029,2567540000
2012-11-13,1380.030029,1388.810059,1371.390015,1374.530029,1374.530029,3455550000
2012-11-14,1374.640015,1380.130005,1352.500000,1355.489990,1355.489990,4109510000
2012-11-15,1355.410034,1360.619995,1348.050049,1353.329956,1353.329956,3928870000
2012-11-16,1353.359985,1362.030029,1343.349976,1359.880005,1359.880005,4045910000
2012-11-19,1359.880005,1386.890015,1359.880005,1386.890015,1386.890015,3374800000
2012-11-20,1386.819946,1389.770020,1377.040039,1387.810059,1387.810059,3207160000
2012-11-21,1387.790039,1391.250000,1386.390015,1391.030029,1391.030029,2667090000
2012-11-23,1391.030029,1409.160034,1391.030029,1409.150024,1409.150024,1504960000
2012-11-26,1409.150024,1409.150024,1397.680054,1406.290039,1406.290039,2948960000
2012-11-27,1406.290039,1409.010010,1398.030029,1398.939941,1398.939941,3323120000
2012-11-28,1398.770020,1410.310059,1385.430054,1409.930054,1409.930054,3359250000
2012-11-29,1409.959961,1419.699951,1409.040039,1415.949951,1415.949951,3356850000
2012-11-30,1415.949951,1418.859985,1411.630005,1416.180054,1416.180054,3966000000
2012-12-03,1416.339966,1423.729980,1408.459961,1409.459961,1409.459961,3074280000
2012-12-04,1409.459961,1413.140015,1403.650024,1407.050049,1407.050049,3247710000
2012-12-05,1407.050049,1415.560059,1398.229980,1409.280029,1409.280029,4253920000
2012-12-06,1409.430054,1413.949951,1405.930054,1413.939941,1413.939941,3229700000
2012-12-07,1413.949951,1420.339966,1410.900024,1418.069946,1418.069946,3125160000
2012-12-10,1418.069946,1421.640015,1415.640015,1418.550049,1418.550049,2999430000
2012-12-11,1418.550049,1434.270020,1418.550049,1427.839966,1427.839966,3650230000
2012-12-12,1427.839966,1438.589966,1426.760010,1428.479980,1428.479980,3709050000
2012-12-13,1428.479980,1431.359985,1416.000000,1419.449951,1419.449951,3349960000
2012-12-14,1419.449951,1419.449951,1411.880005,1413.579956,1413.579956,3210170000
2012-12-17,1413.540039,1430.670044,1413.540039,1430.359985,1430.359985,3455610000
